CODE,LATITUDE,LONGITUDE,LAST MODIFIED DATE,ID,POSTAL CODE
RT01196582,20.8191041,80.0263904,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196585,20.8197268,80.025577,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196587,20.8191019,80.0264388,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196590,20.8201313,80.0247164,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196593,20.8189431,80.02681,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196602,20.8196289,80.0255474,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196604,20.8196345,80.0255589,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196607,20.8189035,80.0267557,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196619,20.8200204,80.0247809,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196622,20.8209074,80.0239644,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196628,20.8208583,80.023992,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196629,20.8208173,80.0238089,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196630,20.8208879,80.0239291,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196906,20.8207893,80.0226114,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196907,20.8197156,80.0252778,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196908,20.8197299,80.0253337,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196909,20.8208006,80.0226321,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196920,20.8189998,80.0260658,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01201226,21.096594,80.1544818,03-04-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441807
RT01201266,21.0792612,80.1503966,03-04-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441806
